om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4
663904,2022,03,05,2022-03-05,19:53:00,3,IA,19,0,1.00,0,0,0,0,42.2400,-91.1900,42.2400,-91.1900,0,0,0,0,0,105,0,0,0
663905,2022,03,05,2022-03-05,20:03:00,3,IA,19,0,0.75,0,0,0,0,42.0900,-91.8000,42.0900,-91.8000,0,0,0,0,0,113,0,0,0
663906,2022,03,05,2022-03-05,20:22:00,3,IA,19,0,1.00,0,0,0,0,41.5400,-91.0500,41.5400,-91.0500,0,0,0,0,0,139,0,0,0
663907,2022,03,05,2022-03-05,22:18:00,3,IL,17,0,0.75,0,0,0,0,40.7000,-89.8800,40.7000,-89.8800,0,0,0,0,0,143,0,0,0
663908,2022,03,06,2022-03-06,00:25:00,3,IL,17,0,1.25,0,0,0,0,39.8000,-87.9800,39.8000,-87.9800,0,0,0,0,0,41,0,0,0
663909,2022,03,06,2022-03-06,02:23:00,3,IN,18,0,0.88,0,0,0,0,41.1000,-85.0500,41.1000,-85.0500,0,0,0,0,0,3,0,0,0
663910,2022,03,06,2022-03-06,18:13:00,3,AR,05,0,0.88,0,0,0,0,35.7800,-92.6400,35.7800,-92.6400,0,0,0,0,0,129,0,0,0
663911,2022,03,06,2022-03-06,18:13:00,3,IL,17,0,0.88,0,0,0,0,37.6800,-88.6500,37.7300,-88.5500,0,0,0,0,0,165,0,0,0
663912,2022,03,06,2022-03-06,18:21:00,3,OK,40,0,1.00,0,0,0,0,35.9698,-95.1427,35.9698,-95.1427,0,0,0,0,0,21,0,0,0
663913,2022,03,06,2022-03-06,18:45:00,3,IN,18,0,0.88,0,0,0,0,38.3134,-87.6800,38.3134,-87.6800,0,0,0,0,0,51,0,0,0
663914,2022,03,06,2022-03-06,18:46:00,3,OK,40,0,0.75,0,0,0,0,36.2205,-94.8254,36.2205,-94.8254,0,0,0,0,0,41,0,0,0
663915,2022,03,06,2022-03-06,20:15:00,3,MO,29,0,1.00,0,0,0,0,36.9700,-93.3600,36.9700,-93.3600,0,0,0,0,0,209,0,0,0
663916,2022,03,06,2022-03-06,20:21:00,3,MO,29,0,0.75,0,0,0,0,37.0200,-93.3100,37.0200,-93.3100,0,0,0,0,0,43,0,0,0
